Item Identifier,Media Url
59,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000010.jpg
206,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000021.jpg
212,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000026.jpg
207,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000022.jpg
58,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000009.jpg
64,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000015.jpg
70,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000022.jpg
165,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000019.jpg
171,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000006.jpg
171,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000007.jpg
159,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000007.jpg
99,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000015.jpg
99,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000016.jpg
99,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000017.jpg
99,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/9/00000018.jpg
167,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/13/00000021.jpg
173,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000012.jpg
173,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/14/00000013.jpg
66,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000017.jpg
66,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/6/00000018.jpg
198,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000003.jpg
198,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000008.jpg
198,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000009.jpg
198,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/15/00000010.jpg
72,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000009.jpg
72,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000010.jpg
72,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000011.jpg
72,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000012.jpg
72,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000013.jpg
72,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/7/00000014.jpg
8,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/1/00000009.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000001.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000002.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000003.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000004.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000005.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000006.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000007.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000008.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000009.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000010.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000011.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000012.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000013.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000014.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000015.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000016.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000017.jpg
239,http://clioimg.hi.u-tokyo.ac.jp/IMG/000/0671/18/21/00000018.jpg
